,Reader,RFID,Time,Date,Timestamp,num,Day,Adjust,Adjust_num,Good_num
82,R30,2.50E+25,9:50:39,1:01:00,00-01-01 9:50,946720239,2,17-11-18 17:04,1511024640,2457744879
83,R30,2.50E+25,9:50:39,1:01:00,00-01-01 9:50,946720239,2,17-11-18 17:04,1511024640,2457744879
84,R30,2.50E+25,9:50:40,1:01:00,00-01-01 9:50,946720240,2,17-11-18 17:04,1511024640,2457744880
85,R30,2.50E+25,9:50:40,1:01:00,00-01-01 9:50,946720240,2,17-11-18 17:04,1511024640,2457744880
86,R30,2.50E+25,9:50:40,1:01:00,00-01-01 9:50,946720240,2,17-11-18 17:04,1511024640,2457744880
87,R30,2.50E+25,9:50:41,1:01:00,00-01-01 9:50,946720241,2,17-11-18 17:04,1511024640,2457744881
88,R30,2.50E+25,9:50:41,1:01:00,00-01-01 9:50,946720241,2,17-11-18 17:04,1511024640,2457744881
89,R30,2.50E+25,9:50:41,1:01:00,00-01-01 9:50,946720241,2,17-11-18 17:04,1511024640,2457744881
90,R30,2.50E+25,9:50:42,1:01:00,00-01-01 9:50,946720242,2,17-11-18 17:04,1511024640,2457744882
91,R30,2.50E+25,9:50:42,1:01:00,00-01-01 9:50,946720242,2,17-11-18 17:04,1511024640,2457744882
92,R30,2.50E+25,9:50:43,1:01:00,00-01-01 9:50,946720243,2,17-11-18 17:04,1511024640,2457744883
93,R30,2.50E+25,9:50:43,1:01:00,00-01-01 9:50,946720243,2,17-11-18 17:04,1511024640,2457744883
94,R30,2.50E+25,9:50:43,1:01:00,00-01-01 9:50,946720243,2,17-11-18 17:04,1511024640,2457744883
95,R30,2.50E+25,9:50:44,1:01:00,00-01-01 9:50,946720244,2,17-11-18 17:04,1511024640,2457744884
96,R30,2.50E+25,9:50:44,1:01:00,00-01-01 9:50,946720244,2,17-11-18 17:04,1511024640,2457744884
97,R30,2.50E+25,9:50:44,1:01:00,00-01-01 9:50,946720244,2,17-11-18 17:04,1511024640,2457744884
98,R30,2.50E+25,9:50:45,1:01:00,00-01-01 9:50,946720245,2,17-11-18 17:04,1511024640,2457744885
99,R30,2.50E+25,9:50:45,1:01:00,00-01-01 9:50,946720245,2,17-11-18 17:04,1511024640,2457744885
100,R30,2.50E+25,9:50:46,1:01:00,00-01-01 9:50,946720246,2,17-11-18 17:04,1511024640,2457744886
101,R30,2.50E+25,9:50:46,1:01:00,00-01-01 9:50,946720246,2,17-11-18 17:04,1511024640,2457744886
102,R30,2.50E+25,9:50:46,1:01:00,00-01-01 9:50,946720246,2,17-11-18 17:04,1511024640,2457744886
103,R30,2.50E+25,9:50:47,1:01:00,00-01-01 9:50,946720247,2,17-11-18 17:04,1511024640,2457744887
104,R30,2.50E+25,9:50:47,1:01:00,00-01-01 9:50,946720247,2,17-11-18 17:04,1511024640,2457744887
105,R30,2.50E+25,9:50:47,1:01:00,00-01-01 9:50,946720247,2,17-11-18 17:04,1511024640,2457744887
106,R30,2.50E+25,9:51:06,1:01:00,00-01-01 9:51,946720266,2,17-11-18 17:04,1511024640,2457744906
107,R30,2.50E+25,9:51:06,1:01:00,00-01-01 9:51,946720266,2,17-11-18 17:04,1511024640,2457744906
108,R30,2.50E+25,9:51:07,1:01:00,00-01-01 9:51,946720267,2,17-11-18 17:04,1511024640,2457744907
109,R30,2.50E+25,9:51:07,1:01:00,00-01-01 9:51,946720267,2,17-11-18 17:04,1511024640,2457744907
110,R30,2.50E+25,9:51:07,1:01:00,00-01-01 9:51,946720267,2,17-11-18 17:04,1511024640,2457744907
111,R30,2.50E+25,9:51:08,1:01:00,00-01-01 9:51,946720268,2,17-11-18 17:04,1511024640,2457744908
112,R30,2.50E+25,9:51:08,1:01:00,00-01-01 9:51,946720268,2,17-11-18 17:04,1511024640,2457744908
113,R30,2.50E+25,9:51:09,1:01:00,00-01-01 9:51,946720269,2,17-11-18 17:04,1511024640,2457744909
114,R30,2.50E+25,9:51:09,1:01:00,00-01-01 9:51,946720269,2,17-11-18 17:04,1511024640,2457744909
115,R30,2.50E+25,9:51:09,1:01:00,00-01-01 9:51,946720269,2,17-11-18 17:04,1511024640,2457744909
116,R30,2.50E+25,9:51:10,1:01:00,00-01-01 9:51,946720270,2,17-11-18 17:04,1511024640,2457744910
117,R30,2.50E+25,9:51:11,1:01:00,00-01-01 9:51,946720271,2,17-11-18 17:04,1511024640,2457744911
118,R30,2.50E+25,9:51:11,1:01:00,00-01-01 9:51,946720271,2,17-11-18 17:04,1511024640,2457744911
119,R30,2.50E+25,9:51:12,1:01:00,00-01-01 9:51,946720272,2,17-11-18 17:04,1511024640,2457744912
120,R30,2.50E+25,9:51:31,1:01:00,00-01-01 9:51,946720291,2,17-11-18 17:04,1511024640,2457744931
121,R30,2.50E+25,9:51:40,1:01:00,00-01-01 9:51,946720300,2,17-11-18 17:04,1511024640,2457744940
122,R30,2.50E+25,9:51:40,1:01:00,00-01-01 9:51,946720300,2,17-11-18 17:04,1511024640,2457744940
123,R30,2.50E+25,9:51:40,1:01:00,00-01-01 9:51,946720300,2,17-11-18 17:04,1511024640,2457744940
124,R30,2.50E+25,9:51:41,1:01:00,00-01-01 9:51,946720301,2,17-11-18 17:04,1511024640,2457744941
125,R30,2.50E+25,9:51:41,1:01:00,00-01-01 9:51,946720301,2,17-11-18 17:04,1511024640,2457744941
126,R30,2.50E+25,9:51:42,1:01:00,00-01-01 9:51,946720302,2,17-11-18 17:04,1511024640,2457744942
127,R30,2.50E+25,9:51:42,1:01:00,00-01-01 9:51,946720302,2,17-11-18 17:04,1511024640,2457744942
128,R30,2.50E+25,9:51:43,1:01:00,00-01-01 9:51,946720303,2,17-11-18 17:04,1511024640,2457744943
129,R30,2.50E+25,9:51:43,1:01:00,00-01-01 9:51,946720303,2,17-11-18 17:04,1511024640,2457744943
130,R30,2.50E+25,9:51:43,1:01:00,00-01-01 9:51,946720303,2,17-11-18 17:04,1511024640,2457744943
131,R30,2.50E+25,9:51:44,1:01:00,00-01-01 9:51,946720304,2,17-11-18 17:04,1511024640,2457744944
132,R30,2.50E+25,9:51:45,1:01:00,00-01-01 9:51,946720305,2,17-11-18 17:04,1511024640,2457744945
133,R30,2.50E+25,9:51:45,1:01:00,00-01-01 9:51,946720305,2,17-11-18 17:04,1511024640,2457744945
134,R30,2.50E+25,9:51:45,1:01:00,00-01-01 9:51,946720305,2,17-11-18 17:04,1511024640,2457744945
135,R30,2.50E+25,9:51:46,1:01:00,00-01-01 9:51,946720306,2,17-11-18 17:04,1511024640,2457744946
136,R30,2.50E+25,9:51:46,1:01:00,00-01-01 9:51,946720306,2,17-11-18 17:04,1511024640,2457744946
137,R30,2.50E+25,9:51:47,1:01:00,00-01-01 9:51,946720307,2,17-11-18 17:04,1511024640,2457744947
138,R30,2.50E+25,9:51:47,1:01:00,00-01-01 9:51,946720307,2,17-11-18 17:04,1511024640,2457744947
139,R30,2.50E+25,9:51:47,1:01:00,00-01-01 9:51,946720307,2,17-11-18 17:04,1511024640,2457744947
140,R30,2.50E+25,9:51:48,1:01:00,00-01-01 9:51,946720308,2,17-11-18 17:04,1511024640,2457744948
141,R30,2.50E+25,9:51:48,1:01:00,00-01-01 9:51,946720308,2,17-11-18 17:04,1511024640,2457744948
142,R30,2.50E+25,9:51:49,1:01:00,00-01-01 9:51,946720309,2,17-11-18 17:04,1511024640,2457744949
143,R30,2.50E+25,9:51:49,1:01:00,00-01-01 9:51,946720309,2,17-11-18 17:04,1511024640,2457744949
144,R30,2.50E+25,9:51:51,1:01:00,00-01-01 9:51,946720311,2,17-11-18 17:04,1511024640,2457744951
145,R30,2.50E+25,9:51:51,1:01:00,00-01-01 9:51,946720311,2,17-11-18 17:04,1511024640,2457744951
146,R30,2.50E+25,9:51:52,1:01:00,00-01-01 9:51,946720312,2,17-11-18 17:04,1511024640,2457744952
147,R30,2.50E+25,9:51:52,1:01:00,00-01-01 9:51,946720312,2,17-11-18 17:04,1511024640,2457744952
148,R30,2.50E+25,9:51:52,1:01:00,00-01-01 9:51,946720312,2,17-11-18 17:04,1511024640,2457744952
149,R30,2.50E+25,9:51:53,1:01:00,00-01-01 9:51,946720313,2,17-11-18 17:04,1511024640,2457744953
150,R30,2.50E+25,9:51:53,1:01:00,00-01-01 9:51,946720313,2,17-11-18 17:04,1511024640,2457744953
151,R30,2.50E+25,9:51:54,1:01:00,00-01-01 9:51,946720314,2,17-11-18 17:04,1511024640,2457744954
152,R30,2.50E+25,9:51:54,1:01:00,00-01-01 9:51,946720314,2,17-11-18 17:04,1511024640,2457744954
153,R30,2.50E+25,9:51:54,1:01:00,00-01-01 9:51,946720314,2,17-11-18 17:04,1511024640,2457744954
154,R30,2.50E+25,9:51:55,1:01:00,00-01-01 9:51,946720315,2,17-11-18 17:04,1511024640,2457744955
155,R30,2.50E+25,9:51:55,1:01:00,00-01-01 9:51,946720315,2,17-11-18 17:04,1511024640,2457744955
156,R30,2.50E+25,9:51:56,1:01:00,00-01-01 9:51,946720316,2,17-11-18 17:04,1511024640,2457744956
157,R30,2.50E+25,9:51:56,1:01:00,00-01-01 9:51,946720316,2,17-11-18 17:04,1511024640,2457744956
158,R30,2.50E+25,9:51:56,1:01:00,00-01-01 9:51,946720316,2,17-11-18 17:04,1511024640,2457744956
159,R30,2.50E+25,9:51:57,1:01:00,00-01-01 9:51,946720317,2,17-11-18 17:04,1511024640,2457744957
160,R30,2.50E+25,9:51:58,1:01:00,00-01-01 9:51,946720318,2,17-11-18 17:04,1511024640,2457744958
161,R30,2.50E+25,9:51:58,1:01:00,00-01-01 9:51,946720318,2,17-11-18 17:04,1511024640,2457744958
162,R30,2.50E+25,9:52:14,1:01:00,00-01-01 9:52,946720334,2,17-11-18 17:04,1511024640,2457744974
163,R30,2.50E+25,9:52:14,1:01:00,00-01-01 9:52,946720334,2,17-11-18 17:04,1511024640,2457744974
164,R30,2.50E+25,9:52:15,1:01:00,00-01-01 9:52,946720335,2,17-11-18 17:04,1511024640,2457744975
165,R30,2.50E+25,9:52:15,1:01:00,00-01-01 9:52,946720335,2,17-11-18 17:04,1511024640,2457744975
166,R30,2.50E+25,9:52:16,1:01:00,00-01-01 9:52,946720336,2,17-11-18 17:04,1511024640,2457744976
167,R30,2.50E+25,9:52:23,1:01:00,00-01-01 9:52,946720343,2,17-11-18 17:04,1511024640,2457744983
168,R30,2.50E+25,9:52:25,1:01:00,00-01-01 9:52,946720345,2,17-11-18 17:04,1511024640,2457744985
169,R30,2.50E+25,9:52:53,1:01:00,00-01-01 9:52,946720373,2,17-11-18 17:04,1511024640,2457745013
170,R30,2.50E+25,9:52:58,1:01:00,00-01-01 9:52,946720378,2,17-11-18 17:04,1511024640,2457745018
171,R30,2.50E+25,9:53:00,1:01:00,00-01-01 9:53,946720380,2,17-11-18 17:04,1511024640,2457745020
172,R30,2.50E+25,9:53:01,1:01:00,00-01-01 9:53,946720381,2,17-11-18 17:04,1511024640,2457745021
173,R30,2.50E+25,9:53:01,1:01:00,00-01-01 9:53,946720381,2,17-11-18 17:04,1511024640,2457745021
174,R30,2.50E+25,9:53:02,1:01:00,00-01-01 9:53,946720382,2,17-11-18 17:04,1511024640,2457745022
175,R30,2.50E+25,9:53:02,1:01:00,00-01-01 9:53,946720382,2,17-11-18 17:04,1511024640,2457745022
