Date,Trap,ID,Recap,RFID,Sex,Age,Scrot,Preg,TL,TV,WT,Type,AccTrap
17-11-06,H15,99,new,755573,M,Adult,NA,NA,125,49,12,G,NA
17-11-08,H15,99,RECAP,755573,M,Adult,yes,NA,125,49,12,G,NA
17-11-09,H15,99,RECAP,755573,M,Adult,yes,NA,125,49,11.5,G,NA
17-11-11,H17,99,RECAP,755573,M,Adult,yes,NA,125,49,12,G,NA
17-11-12,C17,99,RECAP,755573,M,Adult,yes,NA,125,49,12,G,NA
17-11-13,C18,99,RECAP,755573,M,Adult,yes,NA,125,49,12,G,NA
17-11-14,C17,99,RECAP,755573,M,Adult,NA,NA,125,49,12,G,NA
17-11-15,C17,99,RECAP,755573,M,Adult,no,NA,125,49,10.5,G,NA
17-11-16,H16,99,RECAP,755573,M,Adult,yes,NA,125,49,10,G,NA
17-11-08,G2,101,new,754573,M,Adult,yes,NA,125,47,14,G,NA
17-11-10,D57,104,new,454543,M,Adult,yes,NA,130,50,12.5,G,NA
17-11-11,D57,104,RECAP,454543,M,Adult,yes,NA,130,50,11.5,G,NA
17-11-16,B59,104,RECAP,454543,M,Adult,yes,NA,130,50,13,G,NA
17-11-17,H63,104,RECAP,454543,M,Adult,yes,NA,130,50,14,G,NA
17-11-18,C57,104,RECAP,454543,M,Adult,yes,NA,130,50,13,G,NA
17-11-10,G16,106,new,55503,M,Juvenile,no,NA,113,42,9,G,NA
17-11-15,H20,106,RECAP,55503,M,Juvenile,no,NA,113,42,10,G,NA
17-11-10,E25,108,new,651563,M,Adult,NA,NA,122,44,11,G,NA
17-11-12,E25,108,RECAP,651563,M,Adult,yes,NA,122,44,10,G,NA
17-11-13,E25,108,RECAP,651563,M,Adult,NA,NA,122,44,10,G,NA
17-11-14,E25,108,RECAP,651563,M,Adult,NA,NA,122,44,10,G,NA
17-11-15,D24,108,RECAP,651563,M,Adult,no,NA,122,44,11,G,NA
17-11-16,E25,108,RECAP,651563,M,Adult,no,NA,122,44,10,G,NA
17-11-11,H20,109,new,151513,M,Juvenile,no,NA,110,44,8.5,G,NA
17-11-13,H16,109,RECAP,151513,M,Juvenile,no,NA,110,44,9,G,NA
17-11-14,B16,109,RECAP,151513,M,Juvenile,no,NA,110,44,9,G,NA
17-11-15,G17,109,RECAP,151513,M,Juvenile,no,NA,110,44,9,G,NA
17-11-16,G17,109,RECAP,151513,M,Juvenile,no,NA,110,44,8,G,NA
17-11-11,I38,110,new,50503,M,Adult,yes,NA,125,48,12,G,NA
17-11-12,C41,110,RECAP,50503,M,Adult,yes,NA,125,48,12,G,NA
17-11-13,C36,110,RECAP,50503,M,Adult,yes,NA,125,48,14,G,NA
17-11-14,I38,110,RECAP,50503,M,Adult,yes,NA,125,48,12,G,NA
17-11-15,C36,110,RECAP,50503,M,Adult,yes,NA,125,48,11,G,NA
17-11-13,A69,111,RECAP,750573,M,Subadult,no,NA,119,45,10,G,NA
17-11-14,E67,111,RECAP,750573,M,Subadult,no,NA,119,45,9.5,G,NA
17-11-18,H70,111,RECAP,750573,M,Subadult,no,NA,119,45,9,G,NA
17-11-12,F24,113,new,551553,M,Juvenile,no,NA,112,40,10,G,NA
17-11-12,C49,114,new,849483,M,Adult,yes,NA,122,49,13,G,NA
17-11-13,C49,114,RECAP,849483,M,Adult,yes,NA,122,49,12.5,G,NA
