"","mouse1","mouse2","pair","OI","sex1","sex2","type","window"
"173","108","122","108.122",0,"M","F","MF",5400
"174","108","123","108.123",0,"M","F","MF",5400
"175","108","124","108.124",0,"M","F","MF",5400
"176","108","125","108.125",0,"M","M","MM",5400
"177","108","126","108.126",0,"M","M","MM",5400
"178","108","127","108.127",0,"M","F","MF",5400
"179","108","129","108.129",0.00790606131367382,"M","M","MM",5400
"180","108","92","108.92",0,"M","M","MM",5400
"181","108","93","108.93",0,"M","M","MM",5400
"182","108","94","108.94",0,"M","F","MF",5400
"183","108","95","108.95",0.00837308603262501,"M","F","MF",5400
"184","108","96","108.96",0.00033358908496514,"M","F","MF",5400
"185","108","97","108.97",0.00940721219601695,"M","F","MF",5400
"186","108","uk2","108.uk2",0,"M","U",NA,5400
"187","109","103","109.103",0.00379506641366224,"M","F","MF",5400
"188","109","104","109.104",0.00379506641366224,"M","M","MM",5400
"189","109","105","109.105",0,"M","F","MF",5400
"190","109","106","109.106",0.015180265654649,"M","M","MM",5400
"191","109","107","109.107",0,"M","F","MF",5400
"192","109","108","109.108",0.00759013282732448,"M","M","MM",5400
"193","109","110","109.110",0,"M","M","MM",5400
"194","109","111","109.111",0.00094876660341556,"M","M","MM",5400
"195","109","112","109.112",0,"M","F","MF",5400
"196","109","113","109.113",0,"M","M","MM",5400
"197","109","114","109.114",0,"M","M","MM",5400
"198","109","115","109.115",0,"M","F","MF",5400
"199","109","116","109.116",0,"M","M","MM",5400
"200","109","118","109.118",0,"M","M","MM",5400
"201","109","119","109.119",0,"M","M","MM",5400
"202","109","120","109.120",0,"M","M","MM",5400
"203","109","121","109.121",0,"M","M","MM",5400
"204","109","122","109.122",0,"M","F","MF",5400
"205","109","123","109.123",0,"M","F","MF",5400
"206","109","124","109.124",0,"M","F","MF",5400
"207","109","125","109.125",0,"M","M","MM",5400
"208","109","126","109.126",0,"M","M","MM",5400
"209","109","127","109.127",0,"M","F","MF",5400
"210","109","129","109.129",0.00379506641366224,"M","M","MM",5400
"211","109","92","109.92",0,"M","M","MM",5400
"212","109","93","109.93",0.00379506641366224,"M","M","MM",5400
"213","109","94","109.94",0.00094876660341556,"M","F","MF",5400
"214","109","95","109.95",0.00569259962049336,"M","F","MF",5400
"215","109","96","109.96",0,"M","F","MF",5400
"216","109","97","109.97",0,"M","F","MF",5400
"217","109","uk2","109.uk2",0.00759013282732448,"M","U",NA,5400
"218","110","103","110.103",0,"M","F","MF",5400
"219","110","104","110.104",0,"M","M","MM",5400
"220","110","105","110.105",0,"M","F","MF",5400
"221","110","106","110.106",0,"M","M","MM",5400
"222","110","107","110.107",0,"M","F","MF",5400
"223","110","108","110.108",0,"M","M","MM",5400
"224","110","109","110.109",0,"M","M","MM",5400
"225","110","111","110.111",0,"M","M","MM",5400
"226","110","112","110.112",0,"M","F","MF",5400
"227","110","113","110.113",0,"M","M","MM",5400
"228","110","114","110.114",0,"M","M","MM",5400
"229","110","115","110.115",0,"M","F","MF",5400
"230","110","116","110.116",0,"M","M","MM",5400
"231","110","118","110.118",0,"M","M","MM",5400
"232","110","119","110.119",0,"M","M","MM",5400
"233","110","120","110.120",0,"M","M","MM",5400
"234","110","121","110.121",0,"M","M","MM",5400
"235","110","122","110.122",0,"M","F","MF",5400
"236","110","123","110.123",0,"M","F","MF",5400
"237","110","124","110.124",0,"M","F","MF",5400
"238","110","125","110.125",0,"M","M","MM",5400
"239","110","126","110.126",0,"M","M","MM",5400
"240","110","127","110.127",0,"M","F","MF",5400
"241","110","129","110.129",0,"M","M","MM",5400
"242","110","92","110.92",0,"M","M","MM",5400
