INDV1,INDV2,N_AaAa,N_AAaa,N1_Aa,N2_Aa,RELATEDNESS_PHI
S0004,S0021,12,16,31,33,-0.3125
S0004,S0025,14,8,31,44,-0.0266667
S0004,S0026,13,4,31,33,0.078125
S0004,S0027,12,10,31,37,-0.117647
S0004,S0028,14,13,31,40,-0.169014
S0004,S0029,11,10,31,32,-0.142857
S0004,S0030,12,15,31,31,-0.290323
S0004,S0031,10,7,31,34,-0.0615385
S0004,S0032,14,5,31,43,0.0540541
S0004,S0033,14,7,31,38,0
S0004,S0037,14,8,31,45,-0.0263158
S0004,S0038,13,10,31,32,-0.111111
S0004,S0039,7,12,31,34,-0.261538
S0004,S0040,14,12,31,36,-0.149254
S0004,S0041,11,10,31,45,-0.118421
S0004,S0042,13,11,31,40,-0.126761
S0004,S0043,18,6,31,51,0.0731707
S0004,S0044,12,9,31,33,-0.09375
S0004,S0045,15,9,31,38,-0.0434783
S0004,S0051,12,13,31,24,-0.254545
S0004,S0052,12,8,31,36,-0.0597015
S0004,S0053,13,11,31,27,-0.155172
S0004,S0054,17,6,31,50,0.0617284
S0004,S0055,11,5,31,35,0.0151515
S0004,S0056,11,10,31,28,-0.152542
S0004,S0057,11,9,31,33,-0.109375
S0004,S0062,10,11,31,38,-0.173913
S0004,S0063,14,8,31,38,-0.0289855
S0004,S0065,17,8,31,36,0.0149254
S0004,S0066,16,8,31,44,0
S0004,S0068,19,9,31,44,0.0133333
S0004,S0069,12,10,31,36,-0.119403
S0004,S0073,19,13,31,38,-0.101449
S0004,S0074,9,14,31,29,-0.316667
S0004,S0075,15,9,31,40,-0.0422535
S0004,S0076,13,11,31,31,-0.145161
S0004,S0077,13,18,31,26,-0.403509
S0004,S0078,17,8,31,45,0.0131579
S0004,S0079,14,8,31,38,-0.0289855
S0004,S0080,14,5,31,41,0.0555556
S0004,S0081,18,7,31,45,0.0526316
S0004,S0085,11,13,31,32,-0.238095
S0004,S0087,13,7,31,35,-0.0151515
S0004,S0088,11,15,31,29,-0.316667
S0004,S0089,18,4,31,48,0.126582
S0004,S0090,13,13,31,35,-0.19697
S0004,S0091,12,10,31,39,-0.114286
S0004,S0092,10,11,31,35,-0.181818
S0004,S0093,12,8,31,40,-0.056338
S0004,S0099,17,10,31,35,-0.0454545
S0004,S0101,13,10,31,39,-0.1
S0004,S0102,15,14,31,37,-0.191176
S0004,S0103,14,6,31,38,0.0289855
S0004,S0104,12,9,31,35,-0.0909091
S0004,S0105,20,13,31,45,-0.0789474
